Team,Points Scored,Points Allowed,Year,Division,Conference,Wins
Atlanta Hawks,8459,8529,2017,SouthEast,Eastern,43
Boston Celtics,8857,8641,2017,Atlantic,Eastern,53
Brooklyn Nets,8673,9225,2017,Atlantic,Eastern,20
Charlotte Hornets,8601,8585,2017,SouthEast,Eastern,36
Chicago Bulls,8435,8400,2017,Central,Eastern,41
Cleveland Cavaliers,9048,8787,2017,Central,Eastern,51
Dallas Mavericks,8029,8269,2017,SouthWest,Western,33
Denver Nuggets,9161,9119,2017,NorthWest,Western,40
Detroit Pistons,8309,8401,2017,Central,Eastern,37
Golden State Warriors,9503,8549,2017,Pacific,Western,67
Houston Rockets,9458,8985,2017,SouthWest,Western,55
Indiana Pacers,8618,8636,2017,Central,Eastern,42
Los Angeles Clippers,8911,8559,2017,Pacific,Western,51
Los Angeles Lakers,8575,9139,2017,Pacific,Western,26
Memphis Grizzlies,8239,8199,2017,SouthWest,Western,43
Miami Heat,8460,8373,2017,SouthEast,Eastern,41
Milwaukee Bucks,8497,8512,2017,Central,Eastern,42
Minnesota Timberwolves,8657,8748,2017,NorthWest,Western,31
New Orleans Pelicans,8556,8728,2017,SouthWest,Western,34
New York Knicks,8556,8857,2017,Atlantic,Eastern,31
Oklahoma City Thunder,8741,8679,2017,NorthWest,Western,47
Orlando Magic,8288,8827,2017,SouthEast,Eastern,29
Philadelphia 76ers,8400,8867,2017,Atlantic,Eastern,28
Phoenix Suns,8831,9293,2017,Pacific,Western,24
Portland Trail Blazers,8851,8894,2017,NorthWest,Western,41
Sacramento Kings,8430,8748,2017,Pacific,Western,32
San Antonio Spurs,8637,8047,2017,SouthWest,Western,61
Toronto Raptors,8762,8417,2017,Atlantic,Eastern,51
Utah Jazz,8258,7935,2017,NorthWest,Western,51
Washington Wizards,8953,8805,2017,SouthEast,Eastern,49
Atlanta Hawks,8433,8137,2016,SouthEast,Eastern,48
Boston Celtics,8669,8406,2016,Atlantic,Eastern,48
Brooklyn Nets,8089,8692,2016,Atlantic,Eastern,21
Charlotte Hornets,8479,8256,2016,SouthEast,Eastern,48
Chicago Bulls,8335,8456,2016,Central,Eastern,42
Cleveland Cavaliers,8555,8063,2016,Central,Eastern,57
Dallas Mavericks,8388,8413,2016,SouthWest,Western,42
Denver Nuggets,8355,8609,2016,NorthWest,Western,33
Detroit Pistons,8361,8311,2016,Central,Eastern,44
Golden State Warriors,9421,8539,2016,Pacific,Western,73
Houston Rockets,8737,8721,2016,SouthWest,Western,41
Indiana Pacers,8377,8237,2016,Central,Eastern,45
Los Angeles Clippers,8569,8218,2016,Pacific,Western,53
Los Angeles Lakers,7982,8766,2016,Pacific,Western,17
Memphis Grizzlies,8126,8310,2016,SouthWest,Western,42
Miami Heat,8204,8069,2016,SouthEast,Eastern,48
Milwaukee Bucks,8122,8465,2016,Central,Eastern,33
Minnesota Timberwolves,8398,8688,2016,NorthWest,Western,29
New Orleans Pelicans,8423,8734,2016,SouthWest,Western,30
New York Knicks,8065,8289,2016,Atlantic,Eastern,32
Oklahoma City Thunder,9038,8441,2016,NorthWest,Western,55
Orlando Magic,8369,8502,2016,SouthEast,Eastern,35
Philadelphia 76ers,7988,8827,2016,Atlantic,Eastern,10
Phoenix Suns,8271,8817,2016,Pacific,Western,23
Portland Trail Blazers,8622,8554,2016,NorthWest,Western,44
Sacramento Kings,8740,8943,2016,Pacific,Western,33
San Antonio Spurs,8490,7618,2016,SouthWest,Western,67
Toronto Raptors,8422,8053,2016,Atlantic,Eastern,56
Utah Jazz,8010,7863,2016,NorthWest,Western,40
Washington Wizards,8534,8575,2016,SouthEast,Eastern,41
Atlanta Hawks,8409,7964,2015,SouthEast,Eastern,60
Boston Celtics,8312,8299,2015,Atlantic,Eastern,40
Brooklyn Nets,8038,8274,2015,Atlantic,Eastern,38
Charlotte Hornets,7721,7981,2015,SouthEast,Eastern,33
Chicago Bulls,8265,8019,2015,Central,Eastern,50
Cleveland Cavaliers,8457,8090,2015,Central,Eastern,53
Dallas Mavericks,8628,8390,2015,SouthWest,Western,50
Denver Nuggets,8320,8611,2015,NorthWest,Western,30
Detroit Pistons,8077,8159,2015,Central,Eastern,32
Golden State Warriors,9016,8188,2015,Pacific,Western,67
Houston Rockets,8522,8240,2015,SouthWest,Western,56
Indiana Pacers,7981,7958,2015,Central,Eastern,38
Los Angeles Clippers,8751,8211,2015,Pacific,Western,56
Los Angeles Lakers,8073,8634,2015,Pacific,Western,21
Memphis Grizzlies,8062,7796,2015,SouthWest,Western,55
Miami Heat,7764,7977,2015,SouthEast,Eastern,37
Milwaukee Bucks,8023,7988,2015,Central,Eastern,41
Minnesota Timberwolves,8016,8737,2015,NorthWest,Western,16
New Orleans Pelicans,8147,8082,2015,SouthWest,Western,45
New York Knicks,7535,8299,2015,Atlantic,Eastern,17
Oklahoma City Thunder,8524,8345,2015,NorthWest,Western,45
Orlando Magic,7847,8316,2015,SouthEast,Eastern,25
Philadelphia 76ers,7542,8278,2015,Atlantic,Eastern,18
Phoenix Suns,8397,8471,2015,Pacific,Western,39
Portland Trail Blazers,8429,8082,2015,NorthWest,Western,51
Sacramento Kings,8310,8614,2015,Pacific,Western,29
San Antonio Spurs,8461,7953,2015,SouthWest,Western,55
Toronto Raptors,8527,8275,2015,Atlantic,Eastern,49
Utah Jazz,7801,7783,2015,NorthWest,Western,38
Washington Wizards,8080,8021,2015,SouthEast,Eastern,46
Atlanta Hawks,8282,8321,2014,SouthEast,Eastern,38
Boston Celtics,7892,8258,2014,Atlantic,Eastern,25
Brooklyn Nets,8079,8161,2014,Atlantic,Eastern,44
Charlotte Hornets,7942,7960,2014,SouthEast,Eastern,43
Chicago Bulls,7680,7528,2014,Central,Eastern,48
Cleveland Cavaliers,8054,8324,2014,Central,Eastern,33
Dallas Mavericks,8597,8400,2014,SouthWest,Western,49
Denver Nuggets,8559,8735,2014,NorthWest,Western,36
Detroit Pistons,8286,8586,2014,Central,Eastern,29
Golden State Warriors,8549,8155,2014,Pacific,Western,51
Houston Rockets,8829,8455,2014,SouthWest,Western,54
Indiana Pacers,7933,7572,2014,Central,Eastern,56
Los Angeles Clippers,8850,8278,2014,Pacific,Western,57
Los Angeles Lakers,8442,8958,2014,Pacific,Western,27
Memphis Grizzlies,7884,7755,2014,SouthWest,Western,50
Miami Heat,8380,7990,2014,SouthEast,Eastern,54
Milwaukee Bucks,7829,8500,2014,Central,Eastern,15
Minnesota Timberwolves,8768,8549,2014,NorthWest,Western,40
New Orleans Pelicans,8177,8399,2014,SouthWest,Western,34
New York Knicks,8084,8149,2014,Atlantic,Eastern,37
Oklahoma City Thunder,8705,8185,2014,NorthWest,Western,59
Orlando Magic,7914,8360,2014,SouthEast,Eastern,23
Philadelphia 76ers,8155,9012,2014,Atlantic,Eastern,19
Phoenix Suns,8629,8413,2014,Pacific,Western,48
Portland Trail Blazers,8753,8426,2014,NorthWest,Western,54
Sacramento Kings,8241,8479,2014,Pacific,Western,28
San Antonio Spurs,8639,8006,2014,SouthWest,Western,62
Toronto Raptors,8305,8039,2014,Atlantic,Eastern,48
Utah Jazz,7791,8379,2014,NorthWest,Western,25
Washington Wizards,8254,8150,2014,SouthEast,Eastern,44
Atlanta Hawks,8032,7999,2013,SouthEast,Eastern,44
Boston Celtics,7818,7836,2013,Atlantic,Eastern,41
Brooklyn Nets,7944,7798,2013,Atlantic,Eastern,49
Charlotte Hornets,7661,8418,2013,SouthEast,Eastern,21
Chicago Bulls,7641,7615,2013,Central,Eastern,45
Cleveland Cavaliers,7913,8297,2013,Central,Eastern,24
Dallas Mavericks,8293,8342,2013,SouthWest,Western,41
Denver Nuggets,8704,8287,2013,NorthWest,Western,57
Detroit Pistons,7778,8105,2013,Central,Eastern,29
Golden State Warriors,8296,8223,2013,Pacific,Western,47
Houston Rockets,8688,8403,2013,SouthWest,Western,45
Indiana Pacers,7674,7348,2013,Central,Eastern,49
Los Angeles Clippers,8289,7760,2013,Pacific,Western,56
Los Angeles Lakers,8381,8286,2013,Pacific,Western,45
Memphis Grizzlies,7659,7319,2013,SouthWest,Western,56
Miami Heat,8436,7791,2013,SouthEast,Eastern,66
Milwaukee Bucks,8108,8231,2013,Central,Eastern,38
Minnesota Timberwolves,7851,8045,2013,NorthWest,Western,31
New Orleans Pelicans,7714,8031,2013,SouthWest,Western,27
New York Knicks,8196,7849,2013,Atlantic,Eastern,54
Oklahoma City Thunder,8669,7914,2013,NorthWest,Western,60
Orlando Magic,7718,8291,2013,SouthEast,Eastern,20
Philadelphia 76ers,7640,7914,2013,Atlantic,Eastern,34
Phoenix Suns,7805,8335,2013,Pacific,Western,25
Portland Trail Blazers,7995,8255,2013,NorthWest,Western,33
Sacramento Kings,8219,8619,2013,Pacific,Western,28
San Antonio Spurs,8448,7923,2013,SouthWest,Western,58
Toronto Raptors,7971,8092,2013,Atlantic,Eastern,34
Utah Jazz,8038,8045,2013,NorthWest,Western,43
Washington Wizards,7644,7852,2013,SouthEast,Eastern,29
Atlanta Hawks,7790,7857,2011,SouthEast,Eastern,44
Boston Celtics,7913,7473,2011,Atlantic,Eastern,56
Charlotte Bobcats,7650,7978,2011,SouthEast,Eastern,34
Chicago Bulls,8087,7487,2011,Central,Eastern,62
Cleveland Cavaliers,7827,8566,2011,Central,Eastern,19
Dallas Mavericks,8220,7873,2011,SouthWest,Western,57
Denver Nuggets,8811,8421,2011,NorthWest,Western,50
Detroit Pistons,7951,8246,2011,Central,Eastern,30
Golden State Warriors,8477,8668,2011,Pacific,Western,36
Houston Rockets,8685,8506,2011,SouthWest,Western,43
Indiana Pacers,8183,8271,2011,Central,Eastern,37
Los Angeles Clippers,8089,8346,2011,Pacific,Western,32
Los Angeles Lakers,8321,7820,2011,Pacific,Western,57
Memphis Grizzlies,8195,8003,2011,SouthWest,Western,46
Miami Heat,8369,7757,2011,SouthEast,Eastern,58
Milwaukee Bucks,7534,7603,2011,Central,Eastern,35
Minnesota Timberwolves,8288,8832,2011,NorthWest,Western,17
New Jersey Nets,7722,8234,2011,Atlantic,Eastern,24
New Orleans Hornets,7784,7711,2011,SouthWest,Western,46
New York Knicks,8734,8670,2011,Atlantic,Eastern,42
Oklahoma City Thunder,8596,8285,2011,NorthWest,Western,55
Orlando Magic,8135,7687,2011,SouthEast,Eastern,52
Philadelphia 76ers,8119,7996,2011,Atlantic,Eastern,41
Phoenix Suns,8611,8684,2011,Pacific,Western,40
Portland Trail Blazers,7896,7771,2011,NorthWest,Western,48
Sacramento Kings,8151,8589,2011,Pacific,Western,24
San Antonio Spurs,8502,8034,2011,SouthWest,Western,61
Toronto Raptors,8124,8639,2011,Atlantic,Eastern,22
Utah Jazz,8153,8303,2011,NorthWest,Western,39
Washington Wizards,7977,8584,2011,SouthEast,Eastern,23
Atlanta Hawks,8338,7956,2010,SouthEast,Eastern,53
Boston Celtics,8136,7836,2010,Atlantic,Eastern,50
Charlotte Bobcats,7813,7693,2010,SouthEast,Eastern,44
Chicago Bulls,7993,8127,2010,Central,Eastern,41
Cleveland Cavaliers,8373,7838,2010,Central,Eastern,61
Dallas Mavericks,8364,8141,2010,SouthWest,Western,55
Denver Nuggets,8729,8394,2010,NorthWest,Western,53
Detroit Pistons,7709,8128,2010,Central,Eastern,27
Golden State Warriors,8922,9217,2010,Pacific,Western,26
Houston Rockets,8395,8425,2010,SouthWest,Western,42
Indiana Pacers,8263,8510,2010,Central,Eastern,32
Los Angeles Clippers,7849,8370,2010,Pacific,Western,29
Los Angeles Lakers,8339,7952,2010,Pacific,Western,57
Memphis Grizzlies,8404,8528,2010,SouthWest,Western,40
Miami Heat,7914,7727,2010,SouthEast,Eastern,47
Milwaukee Bucks,8009,7870,2010,Central,Eastern,46
Minnesota Timberwolves,8051,8838,2010,NorthWest,Western,15
New Jersey Nets,7575,8323,2010,Atlantic,Eastern,12
New Orleans Hornets,8220,8422,2010,SouthWest,Western,37
New York Knicks,8373,8686,2010,Atlantic,Eastern,29
Oklahoma City Thunder,8322,8036,2010,NorthWest,Western,50
Orlando Magic,8426,7812,2010,SouthEast,Eastern,59
Philadelphia 76ers,8014,8334,2010,Atlantic,Eastern,27
Phoenix Suns,9039,8637,2010,Pacific,Western,54
Portland Trail Blazers,8045,7774,2010,NorthWest,Western,50
Sacramento Kings,8200,8558,2010,Pacific,Western,25
San Antonio Spurs,8312,7895,2010,SouthWest,Western,50
Toronto Raptors,8534,8680,2010,Atlantic,Eastern,40
Utah Jazz,8547,8109,2010,NorthWest,Western,53
Washington Wizards,7892,8284,2010,SouthEast,Eastern,26
Atlanta Hawks,8046,7917,2009,SouthEast,Eastern,47
Boston Celtics,8275,7659,2009,Atlantic,Eastern,62
Charlotte Bobcats,7677,7781,2009,SouthEast,Eastern,35
Chicago Bulls,8378,8401,2009,Central,Eastern,41
Cleveland Cavaliers,8223,7491,2009,Central,Eastern,66
Dallas Mavericks,8343,8181,2009,SouthWest,Western,50
Denver Nuggets,8555,8275,2009,NorthWest,Western,54
Detroit Pistons,7727,7767,2009,Central,Eastern,39
Golden State Warriors,8905,9212,2009,Pacific,Western,29
Houston Rockets,8070,7742,2009,SouthWest,Western,53
Indiana Pacers,8617,8708,2009,Central,Eastern,36
Los Angeles Clippers,7799,8518,2009,Pacific,Western,19
Los Angeles Lakers,8768,8140,2009,Pacific,Western,65
Memphis Grizzlies,7698,8146,2009,SouthWest,Western,24
Miami Heat,8061,8040,2009,SouthEast,Eastern,43
Milwaukee Bucks,8142,8231,2009,Central,Eastern,34
Minnesota Timberwolves,8019,8422,2009,NorthWest,Western,24
New Jersey Nets,8044,8244,2009,Atlantic,Eastern,34
New Orleans Hornets,7857,7730,2009,SouthWest,Western,49
New York Knicks,8627,8841,2009,Atlantic,Eastern,32
Oklahoma City Thunder,7952,8452,2009,NorthWest,Western,23
Orlando Magic,8286,7737,2009,SouthEast,Eastern,59
Philadelphia 76ers,7987,7981,2009,Atlantic,Eastern,41
Phoenix Suns,8974,8816,2009,Pacific,Western,46
Portland Trail Blazers,8153,7715,2009,NorthWest,Western,54
Sacramento Kings,8248,8966,2009,Pacific,Western,17
San Antonio Spurs,7958,7650,2009,SouthWest,Western,54
Toronto Raptors,8121,8352,2009,Atlantic,Eastern,33
Utah Jazz,8492,8275,2009,NorthWest,Western,48
Washington Wizards,7877,8489,2009,SouthEast,Eastern,19
Atlanta Hawks,8054,8203,2008,SouthEast,Eastern,37
Boston Celtics,8245,7404,2008,Atlantic,Eastern,66
Charlotte Bobcats,7959,8318,2008,SouthEast,Eastern,32
Chicago Bulls,7981,8234,2008,Central,Eastern,33
Cleveland Cavaliers,7903,7932,2008,Central,Eastern,45
Dallas Mavericks,8234,7862,2008,SouthWest,Western,51
Denver Nuggets,9074,8770,2008,NorthWest,Western,50
Detroit Pistons,7992,7386,2008,Central,Eastern,59
Golden State Warriors,9105,8924,2008,Pacific,Western,48
Houston Rockets,7931,7547,2008,SouthWest,Western,55
Indiana Pacers,8527,8642,2008,Central,Eastern,36
Los Angeles Clippers,7692,8288,2008,Pacific,Western,23
Los Angeles Lakers,8904,8309,2008,Pacific,Western,57
